NAME	LAT	LON
WERL	51,35	7,53
PADERBORN	51,37	8,37
K.ASTEN	51,11	8,29
BAD LIPPSPRINGE	51,47	8,5
KOETERBERG	51,51	9,19
LUEDGE	51,52	9,16
WARBURG	51,3	9,07
KASSEL	51,18	9,27
FRITZLAR	51,07	9,17
SCHAUENBURG-ELGERSH.	51,17	9,22
ALFELD	51,58	9,48
GOETTINGEN	51,3	9,57
LEINEFELDE	51,23	10,19
BRAUNLAGE	51,43	10,36
BROCKEN	51,48	10,37
WERNIGERODE	51,51	10,46
COCHSTEDT	51,51	11,25
HARZGERODE	51,39	11,08
ARTERN	51,22	11,17
HALLE	51,31	11,57
LEIPZIG/SCHKEUDITZ	51,25	12,14
LEIPZIG	51,19	12,25
WITTENBERG	51,53	12,38
HOLZDORF	51,46	13,11
OSCHATZ	51,18	13,05
DRESDEN-STADT	51,03	13,44
DRESDEN/FLUGHAFEN	51,08	13,45
DOBERLUG-KIRCHHAIN	51,39	13,34
COTTBUS/FLUGPLATZ	51,46	14,17
PRESCHEN	51,4	14,38
HOYERSWERDA	51,27	14,15
COTTBUS	51,47	14,19
GOERLITZ	51,1	14,57
GEILENKIRCHEN	50,58	6,03
AACHEN	50,47	6,06
NOERVENICH	50,5	6,4
AACHEN-ORSBACH	50,48	6,02
NUERBURG-BARWEILER	50,22	6,52
NUERBURG	50,2	6,57
KOELN/BONN	50,52	7,1
MENDIG	50,22	7,19
KOBLENZ-BEND.	50,25	7,35
KO-FALKENST.KASERNE	50,22	7,35
BONN-FRIESDORF	50,42	7,09
BONN-ROLEBER	50,44	7,11
ANDERNACH	50,26	7,26
ROTHAARGEBIRGE	50,56	8,12
EUSKIRCHEN	50,39	6,47
B.MARIENBG.	50,4	7,58
GIESSEN	50,36	8,38
HOHERODSKOPF (VOGELS	50,31	9,13
WAHLEN	50,49	9,08
FULDA	50,33	9,39
NEU-ULRICHSTEIN	50,45	9,01
EISENACH	51	10,22
BAD HERSFELD	50,51	9,44
WASSERKUPPE	50,3	9,56
KALTENNORDHEIM	50,38	10,09
MEININGEN	50,34	10,23
SCHMUECKE	50,39	10,46
ERFURT	50,59	10,58
WEIMAR	50,59	11,19
NEUHAUS A.R.	50,3	11,08
SONNEBERG	50,23	11,11
SCHLEIZ	50,34	11,48
OSTERFELD	51,05	11,56
GERA	50,53	12,08
PLAUEN	50,29	12,08
CARLSFELD	50,26	12,37
AUE	50,36	12,43
CHEMNITZ	50,47	12,52
FICHTELBERG	50,26	12,57
MARIENBERG	50,39	13,09
ZINNWALD-G.	50,44	13,45
LICHTENHAIN	50,56	14,13
TRIER	49,45	6,4
BUECHEL	50,1	7,04
DEUSELBACH	49,46	7,03
HAHN	49,57	7,16
TRABEN-TRARBACH	49,58	7,07
IDAR-OBERSTEIN	49,42	7,2
BAUMHOLDER	49,37	7,21
GEISENHEIM	49,59	7,57
WIESBADEN	50,03	8,2
KL.FELDBG./TS.	50,13	8,27
FRANKFURT/M	50,03	8,36
OFFENBACH	50,07	8,44
OFFENBACH-WETTERPARK	50,05	8,47
BREITSOL	49,54	9,26
NEUHUETTEN/SPESSART	50,01	9,25
MICHELSTADT-V.	49,43	9,06
WUERZBURG	49,46	9,58
KISSINGEN	50,12	10,05
COBURG	50,17	10,59
BAMBERG	49,53	10,55
BAYREUTH	49,59	11,38
HOF/FLUGHAFEN	50,17	11,51
HOF	50,19	11,53
WUNSIEDEL-SCHOENBRUN	50,02	11,58
WEIDEN	49,4	12,11
BERUS	49,16	6,41
THOLEY	49,29	7,03
SAARBRUECKEN	49,13	7,07
ZWEIBRUECKEN	49,13	7,24
KARLSR./BADEN-BADEN	48,47	8,05
WEINBIET	49,23	8,07
KARLSRUHE	49,02	8,22
MANNHEIM	49,31	8,33
RHEINSTETTEN	48,58	8,19
WAIBSTADT	49,17	8,55
SINSHEIM	49,15	8,53
MUEHLACKER	48,58	8,52
STUTTGART-ECHT.	48,41	9,13
STUTTGART-SCHN.	48,5	9,12
OEHRINGEN	49,13	9,31
NIEDERSTETTEN	49,24	9,58
KAISERSBACH-CRONHUET	48,55	9,41
ANSBACH	49,19	10,38
FEUCHTWANGEN	49,1	10,22
WEISSENBURG-EMETZH.	49,01	10,56
NUERNBERG	49,3	11,03
ROTH	49,13	11,06
KUEMMERSBRUCK	49,26	11,54
REGENSBURG	49,02	12,06
GELBELSEE	48,57	11,26
